               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.020837,            0.016775,                   0,             0.95166,             0.85635,             0.85735,             0.73057,             0.01955,            0.013395,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.021628,            0.024832,                   0,             0.95166,             0.85635,             0.85735,             0.73057,             0.01955,            0.013395,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.019782,             0.01506,                   0,             0.94761,             0.82609,             0.85537,             0.72679,            0.019558,            0.013356,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.021826,            0.019619,                   0,             0.94951,             0.81807,             0.85279,             0.71092,            0.019893,            0.013465,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.020355,              0.0184,                   0,             0.94862,             0.82609,             0.85538,             0.71226,            0.020767,            0.013249,                   0,            0.002179,            0.002179,            0.002179
                 160,               0.022,            0.018231,                   0,             0.94862,             0.82609,             0.85538,             0.71226,            0.020767,            0.013249,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.021136,            0.017967,                   0,             0.95217,             0.86578,             0.85779,             0.73338,            0.020215,            0.013033,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.018353,            0.018716,                   0,             0.93298,             0.86957,             0.85634,             0.72702,            0.020022,            0.012827,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.018495,            0.018835,                   0,             0.94072,             0.86957,             0.85651,             0.72964,            0.020167,            0.012826,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.020915,            0.019002,                   0,             0.94072,             0.86957,             0.85651,             0.72964,            0.020167,            0.012826,                   0,           0.0019315,           0.0019315,           0.0019315
